"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00050848","BOULDER, CO US","2021-01-01","0.00","0.0","43","22"
"USC00050848","BOULDER, CO US","2021-01-02","0.00","0.0","52","17"
"USC00050848","BOULDER, CO US","2021-01-03","0.00","0.0","53","31"
"USC00050848","BOULDER, CO US","2021-01-04","0.00","0.0","59","30"
"USC00050848","BOULDER, CO US","2021-01-05","0.00","0.0","55","29"
"USC00050848","BOULDER, CO US","2021-01-06","0.00","0.0","45","18"
"USC00050848","BOULDER, CO US","2021-01-07","0.00","0.0","46","23"
"USC00050848","BOULDER, CO US","2021-01-08","0.00","0.0","45","21"
"USC00050848","BOULDER, CO US","2021-01-09","0.01","0.1","36","20"
"USC00050848","BOULDER, CO US","2021-01-10","0.21","3.7","35","23"
"USC00050848","BOULDER, CO US","2021-01-11","0.00","0.0","44","11"
"USC00050848","BOULDER, CO US","2021-01-12","0.00","0.0","54","18"
"USC00050848","BOULDER, CO US","2021-01-13","0.00","0.0","64","31"
"USC00050848","BOULDER, CO US","2021-01-14","0.00","0.0","56","28"
"USC00050848","BOULDER, CO US","2021-01-15","0.00","0.0","46","15"
"USC00050848","BOULDER, CO US","2021-01-16","0.00","0.0","52","29"
"USC00050848","BOULDER, CO US","2021-01-17","0.00","0.0","52","26"
"USC00050848","BOULDER, CO US","2021-01-18","0.00","0.0","46","29"
"USC00050848","BOULDER, CO US","2021-01-19","0.00","0.0","39","22"
"USC00050848","BOULDER, CO US","2021-01-20","0.00","0.0","59","18"
"USC00050848","BOULDER, CO US","2021-01-21","0.00","0.0","47","36"
"USC00050848","BOULDER, CO US","2021-01-22","0.00","0.0","45","19"
"USC00050848","BOULDER, CO US","2021-01-23","0.00","0.0","44","19"
"USC00050848","BOULDER, CO US","2021-01-24","0.00","0.0","38","23"
"USC00050848","BOULDER, CO US","2021-01-25","0.00","0.0","38","16"
"USC00050848","BOULDER, CO US","2021-01-26","0.17","2.2","28","18"
"USC00050848","BOULDER, CO US","2021-01-27","0.01","0.2","28","4"
"USC00050848","BOULDER, CO US","2021-01-28","0.00","0.0","45","14"
"USC00050848","BOULDER, CO US","2021-01-29","0.00","0.0","58","27"
"USC00050848","BOULDER, CO US","2021-01-30","0.00","0.0","54","30"
"USC00050848","BOULDER, CO US","2021-01-31","0.00","0.0","52","22"
"USC00050848","BOULDER, CO US","2021-02-01","0.00","0.0","50","25"
"USC00050848","BOULDER, CO US","2021-02-02","0.00","0.0","65","32"
"USC00050848","BOULDER, CO US","2021-02-03","0.00","0.0","65","37"
"USC00050848","BOULDER, CO US","2021-02-04","0.00","0.0","46","19"
"USC00050848","BOULDER, CO US","2021-02-05","0.00","0.0","45","25"
"USC00050848","BOULDER, CO US","2021-02-06","0.00","0.0","45","25"
"USC00050848","BOULDER, CO US","2021-02-07","0.00","0.0","54","23"
"USC00050848","BOULDER, CO US","2021-02-08","0.00","0.0","48","9"
"USC00050848","BOULDER, CO US","2021-02-09","0.00","0.0","31","9"
"USC00050848","BOULDER, CO US","2021-02-10","0.00","0.0","31","11"
"USC00050848","BOULDER, CO US","2021-02-11","0.00","0.0","27","13"
"USC00050848","BOULDER, CO US","2021-02-12","0.06","1.1","15","0"
"USC00050848","BOULDER, CO US","2021-02-13","0.05","0.9","7","-3"
"USC00050848","BOULDER, CO US","2021-02-14","0.11","1.4","4","-8"
"USC00050848","BOULDER, CO US","2021-02-15","0.02","0.3","21","-12"
"USC00050848","BOULDER, CO US","2021-02-16","0.00","0.0","42","2"
"USC00050848","BOULDER, CO US","2021-02-17","0.00","0.1","35","16"
"USC00050848","BOULDER, CO US","2021-02-18","0.37","7.1","34","15"
"USC00050848","BOULDER, CO US","2021-02-19","0.00","0.0","45","9"
"USC00050848","BOULDER, CO US","2021-02-20","0.00","0.0","50","21"
"USC00050848","BOULDER, CO US","2021-02-21","0.12","0.5","43","20"
"USC00050848","BOULDER, CO US","2021-02-22","0.00","0.0","56","32"
"USC00050848","BOULDER, CO US","2021-02-23","0.00","0.0","60","36"
"USC00050848","BOULDER, CO US","2021-02-24","0.00","0.1","54","20"
"USC00050848","BOULDER, CO US","2021-02-25","0.55","8.1","35","11"
"USC00050848","BOULDER, CO US","2021-02-26","0.00","0.0","45","13"
"USC00050848","BOULDER, CO US","2021-02-27","0.00","0.0","41","24"
"USC00050848","BOULDER, CO US","2021-02-28","0.00","0.0","39","11"
"USC00050848","BOULDER, CO US","2021-03-01","0.00","0.0","49","13"
"USC00050848","BOULDER, CO US","2021-03-02","0.00","0.0","62","24"
"USC00050848","BOULDER, CO US","2021-03-03","0.00","0.0","62","30"
"USC00050848","BOULDER, CO US","2021-03-04","0.01","0.0","48","30"
"USC00050848","BOULDER, CO US","2021-03-05","0.00","0.0","60","32"
"USC00050848","BOULDER, CO US","2021-03-06","0.00","0.0","67","27"
"USC00050848","BOULDER, CO US","2021-03-07","0.00","0.0","69","42"
"USC00050848","BOULDER, CO US","2021-03-08","0.00","0.0","68","35"
"USC00050848","BOULDER, CO US","2021-03-09","0.00","0.0","69","39"
"USC00050848","BOULDER, CO US","2021-03-10","0.23","0.9","60","32"
"USC00050848","BOULDER, CO US","2021-03-11","0.00","0.0","44","22"
